頻道名稱,頻道ID,傳送門,頻道加入時間,影片數,觀看次數,訂閱數,所屬
Kisaku Ch. 酒井既朔,UCBVgHBQys9RPwBcnHqn6uUw,https://www.youtube.com/@sakaikisaku,2021-08-10,141,6446,289,
黒井夜子,UCW30ApwIl7QpYvk4Se2uZbA,https://www.youtube.com/@kuroiyoruko_1025,2021-07-15,51,25208,1690,
見夢ルラ×Miyumerura,UC8FFII2gBtA84sEhOXoRl5w,https://www.youtube.com/@-miyumerura2020,2021-05-28,58,1951,140,
Umii Ch. 猫羽うみ,UCPyRaHG_9cQwtUNEe9hj3jQ,https://www.youtube.com/@umiich.4108,2021-11-12,6,7806,1360,
TNKM Ch. 黑森千夜【HKVTuber】,UC0jBMZQHpsTGzklVh81wzUQ,https://www.youtube.com/@thousandnightkm,2021-10-22,228,26808,277,
歐拉郥兒Ola Pear ch.,UCYcZ1BdCRRiXg4M0qg9lxQw,https://www.youtube.com/@olapearch.,2021-11-03,151,25408,632,
水樹椿Tsubaki【出道準備中】,UCy27FDfI4kmCtPnHLLySpxg,https://www.youtube.com/@tsubaki0069,2022-05-04,6,3598,173,
鈴悉Lindsay,UCoPt1m-JGuyizQqPA3FPvTQ,https://www.youtube.com/@lindsay_1014,2022-11-16,12,976,84,
Akiharu Sora Ch. 秋晴ソラ,UC6Uj1JkLSaapKpngXEyDF5g,https://www.youtube.com/@akiharusora,2021-11-01,111,12302,341,
Ryuuou.Ch竜桜御森,UCYZsnt_V6isDGY4hN18avCg,https://www.youtube.com/@ryuuou0901,2021-07-22,56,3731,232,
打工人小森 - Sen ch.,UCLWAjKhuPuRxRGetZ0wRPfQ,https://www.youtube.com/@-sench.8322,2021-09-01,39,1407,191,
伊理  Iri Ch.,UCcZMCKa_ulPYA72jTAc9V3Q,https://www.youtube.com/@iriiich,2021-07-11,74,2401,106,地下軼樓
虎屋レイ_Toraya Rei,UCgWN4pwpwOmORhthFroc3Vg,https://www.youtube.com/@toraya_rei,2021-07-16,228,52523,1860,
恢糜爾Whirlmee,UC_ZquMhoJiwPznGavsxN3oA,https://www.youtube.com/@whirlmee1878,2022-02-23,44,1681,48,
珈琲モカ,UCOBy2GH-cjhVqSnYEG7z7nQ,https://www.youtube.com/@kohimoka,2012-04-03,22,2428,149,
🐯淵夜🐍台灣Vtuber,UC2fZgxXAiHIqcq5DN-Wal2A,https://www.youtube.com/@yuanye0219,2021-10-28,196,28644,1040,
魚寶Yubao,UCaNS5U7CTuXoIFbrG_xYnYA,https://www.youtube.com/@yubao0327,2021-10-24,250,7375,152,
柳承知 ch.,UC5TYcd5k7DT-sHVI_CuS25g,https://www.youtube.com/@liuchengzhivtuber,2022-03-31,19,2687,201,
利姆  尼布尼斯 Rimu nibunisu【 RUE ARK所屬 】,UCpSNRFPD7lmq7lskKnKSnYw,https://www.youtube.com/@rimunibunisurueark0606,2022-02-23,151,72192,3890,RUE ARK
Yui32Satomi MY Vtuber,UCji3JRIv09DcAK2o8VDbQlA,https://www.youtube.com/@yui32satomimyvtuber,2021-03-24,164,24049,772,Pasar Virtual Entertainment
Daina Ch. 呆那,UCOCmYkjJC5E0_0jQkpDHfng,https://www.youtube.com/@dainaawa,2021-12-26,27,1103,108,
御鳥 Mitori Channel,UCHsHGWUN92HwIoA9G_TrIpA,https://www.youtube.com/@mitorichannel2341,2020-08-31,764,3808,123,
貓戶宇,UCFlS1oO__x1JM8Z-0iUR14A,https://www.youtube.com/@amosyui,2011-07-08,317,14421,2220,
祈霓722 Ch.,UCtWuTDvZeZ09COJ2SjfESzQ,https://www.youtube.com/@queenie722,2021-02-14,3,6361,5590,七二二軍團
星眷蕾米 Hoshiken Remi,UCF_Hh28RAiYTRm-NUyi-MqA,https://www.youtube.com/@hoshikenremi,2021-03-07,339,117656,3380,RaZerStar
Fuyutsuki / 和泉ふゆつき,UCQ1epGWwYs_FWBfROWpB_hw,https://www.youtube.com/@izumi_fuyutsuki,2019-09-20,6,658,61,
